ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
Liz Phair,Divorce Song,1993,Heartbreak,-
The Police,Can’t Stand Losing You,1978,Heartbreak,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
The Police,Every Breath You Take,1983,Heartbreak,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Elvis Presley,Always on My Mind,1972,Heartbreak,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Elvis Presley,Suspicious Minds,1969,Heartbreak,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
Dory Previn,Beware of Young Girls,1970,Heartbreak,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
Prince,When Doves Cry,1984,Heartbreak,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
Mohammed Rafi,Jaan Pehechaan Ho,1965,Heartbreak,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
Lou Reed,Sad Song,1973,Heartbreak,-
REM,Everybody Hurts,1992,Heartbreak,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
REM,The One I Love,1987,Heartbreak,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
The Righteous Brothers,You’ve Lost That Lovin’ Feelin’,1964,Heartbreak,http://open.spotify.com/track/4Y7jrcaXsSFyf5g4YLcAaB
The Rolling Stones,Stupid Girl,1966,Heartbreak,http://open.spotify.com/track/1jlF5p7TTVhT1pvk1jdxZz
The Rolling Stones,Under My Thumb,1966,Heartbreak,http://open.spotify.com/track/4H5hI3u6LmIRlXnWR89opX
The Ronettes,(The Best Part of) Breakin’ Up,1964,Heartbreak,-
Jimmy Ruffin,What Becomes of the Broken Hearted,1966,Heartbreak,http://open.spotify.com/track/019nGMMof2yYp0zIdnbxSV
Arthur Russell,A Little Lost,1994,Heartbreak,-
Carly Simon,Nobody Does it Better,1977,Heartbreak,http://open.spotify.com/track/240vi0Gt8ZOdPwC1PbzfUJ
Carly Simon,You’re So Vain,1972,Heartbreak,http://open.spotify.com/track/46aRTYYXkN8ok6fnv9ljvr
Paul Simon,50 Ways to Leave Your Lover,1975,Heartbreak,http://open.spotify.com/track/2VrS8weZmIHO4LtRQibMvJ
Frank Sinatra,Only the Lonely,1958,Heartbreak,http://open.spotify.com/track/3il33mhbtAFCpdBNvNyymr
The Small Faces,All Or Nothing,1966,Heartbreak,http://open.spotify.com/track/3NkE5aI8aPPnoG8w2xBwNF
The Smiths,I Know It’s Over,1986,Heartbreak,-
The Smiths,"Please, Please, Please Let Me Get What I Want",1984,Heartbreak,-
Smog,Left Only With Love,1998,Heartbreak,-
Spiritualized,Broken Heart,1997,Heartbreak,-
Dusty Springfield,I Just Don’t Know What to Do With Myself,1964,Heartbreak,http://open.spotify.com/track/4qrEIcw64kbDgSK5QRkkAC
Dusty Springfield,You Don’t Have to Say You Love Me,1966,Heartbreak,http://open.spotify.com/track/2djMjbwwD6aeN029drEul0
Rod Stewart,Maggie May,1971,Heartbreak,http://open.spotify.com/track/5bnmFqpNi0JsOUQgQaGtzC
The Streets,Dry Your Eyes,2004,Heartbreak,http://open.spotify.com/track/1DlCpos9Lj8pK6cYMRjipp
